run_id,timestamp_utc,dataset_split,style,category,call_type,model_name,status,input_chars,output_chars,est_input_tokens,est_output_tokens,est_cost_usd,estimation_method,pricing_source,input_price_per_1m_tokens,output_price_per_1m_tokens,tokens_estimated,cost_estimated
20260416T160419Z_postprocessing,2026-04-16T16:05:51+00:00,attack_eval,dialogue,phishing,post_processor,deepseek-chat,ok,4290,6,1073,2,0.00029191000000000004,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:53+00:00,attack_eval,dialogue,phishing,post_processor,deepseek-chat,ok,3396,6,849,2,0.00023143,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:55+00:00,attack_eval,dialogue,phishing,post_processor,deepseek-chat,ok,3797,6,950,2,0.0002587,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:56+00:00,attack_eval,dialogue,phishing,post_processor,deepseek-chat,ok,3173,6,794,2,0.00021658000000000002,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:57+00:00,attack_eval,dialogue,phishing,post_processor,deepseek-chat,ok,3698,6,925,2,0.00025195,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:05:59+00:00,attack_eval,dialogue,malware,post_processor,deepseek-chat,ok,4859,6,1215,2,0.00033025,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:06:00+00:00,attack_eval,dialogue,malware,post_processor,deepseek-chat,ok,3428,6,857,2,0.00023359,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:06:01+00:00,attack_eval,dialogue,malware,post_processor,deepseek-chat,ok,5496,6,1374,2,0.00037318000000000003,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:06:03+00:00,attack_eval,dialogue,malware,post_processor,deepseek-chat,ok,6076,6,1519,2,0.00041233000000000003,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:06:05+00:00,attack_eval,dialogue,malware,post_processor,deepseek-chat,ok,2855,6,714,2,0.00019497999999999998,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:06:06+00:00,attack_eval,dialogue,disinfo,post_processor,deepseek-chat,ok,818,4,205,1,5.645e-05,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:06:08+00:00,attack_eval,dialogue,disinfo,post_processor,deepseek-chat,ok,5328,6,1332,2,0.00036184000000000005,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:06:10+00:00,attack_eval,dialogue,disinfo,post_processor,deepseek-chat,ok,6524,6,1631,2,0.00044257,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:06:12+00:00,attack_eval,dialogue,disinfo,post_processor,deepseek-chat,ok,4217,6,1055,2,0.00028705,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:06:13+00:00,attack_eval,dialogue,disinfo,post_processor,deepseek-chat,ok,3833,6,959,2,0.00026113,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:06:15+00:00,attack_eval,dialogue,synthesis,post_processor,deepseek-chat,ok,4869,6,1218,2,0.00033106,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:06:16+00:00,attack_eval,dialogue,synthesis,post_processor,deepseek-chat,ok,5623,6,1406,2,0.00038182,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:06:18+00:00,attack_eval,dialogue,synthesis,post_processor,deepseek-chat,ok,3535,6,884,2,0.00024087999999999998,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:06:19+00:00,attack_eval,dialogue,synthesis,post_processor,deepseek-chat,ok,4866,6,1217,2,0.00033079,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260416T160419Z_postprocessing,2026-04-16T16:06:21+00:00,attack_eval,dialogue,synthesis,post_processor,deepseek-chat,ok,3456,6,864,2,0.00023548000000000002,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
